name,slug,aliases,category_key,category_name,market_status,recruitment_status,is_active,website_url,website_url_status,source_urls
Dr Konopny,dr-konopny,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2186/dr-konopny/
Dr Materac,dr-materac,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2213/dr-materac/
DRM-LND,drm-lnd,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2414/drm-lnd/
Duży Ben Market Alkoholowy,duzy-ben-market-alkoholowy,,food-retail,Artykuły spożywcze,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2242/duzy-ben-market-alkoholowy/
Dzikie Pląsy,dzikie-plasy,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2298/dzikie-plasy/
EARLY STAGE,early-stage,,education,Edukacja,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/edukacja/early-stage/
Edu3Dkacja,edu3dkacja,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2072/edu3dkacja/
Edukido,edukido,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1762/edukido/
Emotka,emotka,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2381/emotka/ | https://franczyzawpolsce.pl/baza-sieci/edukacja/emotka/
EMS FitFactory,ems-fitfactory,,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2046/ems-fitfactory/
Enea Partner,enea-partner,,retail,Handel detaliczny,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2431/enea-partner/
epaka.pl,epaka,,services,Usługi dla konsumentów,listed,listed_offer,True,https://www.epaka.pl,unverified_seed,https://franchising.pl/franczyza/1231/epaka-pl/ | https://www.epaka.pl
Erste Bank Polska,erste-bank-polska,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1938/erste-bank-polska/
Esotiq,esotiq,,fashion,Odzież i obuwie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/573/esotiq/
Estetic Point,estetic-point,,beauty,Uroda i kosmetyki,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2388/estetic-point/
Express House Real Estate,express-house-real-estate,,property,Nieruchomości,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2270/express-house-real-estate/
Express Pizza American Style,express-pizza-american-style,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1765/express-pizza-american-style/
Extra Services,extra-services,,services,Usługi dla konsumentów,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1792/extra-services/
Extrakantor.pl,extrakantor-pl,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1592/extrakantor-pl/
Fajne Miejsce,fajne-miejsce,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2395/fajne-miejsce/
Fashion Laundromat,fashion-laundromat,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2375/fashion-laundromat/
FASTKAVA,fastkava,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2442/fastkava/
Fit Cake,fit-cake,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1899/fit-cake/
FIT CAKE NIECUKIERNIA.PL,fit-cake-niecukiernia-pl,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/gastronomia/fit-cake-niecukiernia-pl/
FIT Style,fit-style,,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2432/fit-style/
Fit+,fit-plus,,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2277/fit/
Fizjoacademy,fizjoacademy,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2444/fizjoacademy/
